,id,title,contents,date,category,source
0,6b193650-f9d7-4d78-a182-adb2285b6946,藍白合怎麼配？ 馬英九基金會明上午10點揭曉,"國民黨、民眾黨在15日達成共識，雙方將以民調計點方式產生正副總統參選組合，並由馬英九基金會在18日公布最後結果。馬英九基金會剛剛發出採訪通知，明天上午10時將舉行「公布兩黨協商結論之民調檢視結果」記者會，正式宣布藍白挑戰2024總統大選的組合。
藍白15日在馬英九見證下達成共識，決定產生代表藍白參選正副總統人選的產生機制，由馬英九、國⺠黨、⺠眾黨，各推薦一位⺠調統計專家，並由⺠調統計專家檢視評估11月7日至11月17日，社會各界公布的⺠調結果，及國民黨、民眾黨各提供一份內參⺠調的結果，若超過統計誤差，由勝者得一點；若在統計誤差範圍內，由侯柯配得一點，結果18日公布。
馬英九推薦政大政治系主任陳陸輝、國民黨推薦文化大學新聞系教授莊伯仲、民眾黨推薦求真民調公司總經理關智宇。三人在今天舉行會前會，訂出採計原則、標準，將在明天早上確認採計結果，馬英九基金會今天也發出採訪通知，將在明天上午10時公布結果，屆時就知道是「侯柯配」還是「柯侯配」來迎戰民進黨的「賴蕭配」。",2023/11/17,即時總覽,moneyudn
1,a98dbbec-0781-44f9-945e-683d8a5cd23c,鏡電視播政論節目？ NCC：了解中 若違規最重罰百萬,"外界質疑鏡電視違反營運計畫製播政論節目「大選鏡來講」，NCC今天表示，鏡電視申設所提的營運計畫都有表達不製播政論節目，已調帶了解節目製播狀況，也發文請業者陳述意見，若違規，可處警告或新台幣10萬元以上、100萬元以下罰鍰，並要求限期改正。
至於外界關切華視YouTube頻道播放三立前主播廖筱君製播的網路政論節目「REAL TALK真實對話」，NCC表示，網路內容非廣電法規規範範圍，NCC尊重公司與公廣集團營運自主。
NCC強調，在尊重媒體自主與憲法言論自由前提下，除非電視播出內容違法需依廣電法規開罰外，不然NCC對於電視節目排播、主持人人選、播送內容、表現方式等，都會尊重。
外界質疑鏡電視違反營運計畫製播政論節目，近期播出的「大選鏡來講」節目，也邀經濟部長王美花上節目受訪，引發討論。
國家通訊傳播委員會（NCC）今天發布新聞稿，鏡電視新聞台申設所提的營運計畫、補正說明及到會陳述時都表達，頻道全天不製作、不製播新聞性政論節目，因此，NCC許可處分函中要求公司確實依營運計畫辦理。
NCC表示，已調帶了解「大選鏡來講」節目實際製播狀況，15日發文請鏡電視意見陳述，後續依行政程序處理，如有違規，處警告或新台幣10萬元以上、100萬元以下罰鍰，並要求限期改正，屆期不改正的話，可以按次處罰。",2023/11/17,即時總覽,moneyudn
2,cd8087a8-c42b-472a-b240-1136f44c5f4a,馬雲擬減持1000萬股  阿里巴巴股價大跌,"美國證交會披露資料顯示，阿里巴巴集團創始人馬雲家族全資擁有的信託公司，擬於11月21日減持1000萬創始人股份。消息傳出，阿里巴巴股價今天在美股、港股均大跌逾9%。
綜合陸媒澎湃新聞、新浪財經，美國證券交易委員會（SEC）官網於當地時間14日披露了兩份144表格，顯示馬雲家族信託全資擁有的英屬維京群島公司JCProperties Limited和JSP Investment Limited，擬於11月21日出售阿里巴巴創始人股份，均為500萬股美國存托股份（ADS）。
按美東時間11月15日阿里巴巴87.07美元/股計算，馬雲這次減持股票，市值8.707億美元（約新台幣277億元）。
不過消息披露後，再加上阿里巴巴稍早公布財報表示暫緩旗下的盒馬鮮生赴港IPO（首次公開募股），以及不再推進雲智能集團的完全分拆，顯示其「1＋6＋N」的組織變革喊停，阿里巴巴美股昨晚開盤即大跌逾9%，今晨收盤報79.11美元，下跌9.14%。
阿里巴巴港股今早開盤也重挫走低，一度跌逾10%。下午收盤報港幣73.25元，下跌9.96%，成交額逾港幣141億元，排港股第一。
馬雲淡出經營後，阿里巴巴近年不再於財報中披露他的持股數據。從截至2020年7月2日的數據來看，當時馬雲持股已降至4.8%，低於5%。
2020年10月，馬雲從阿里巴巴董事會成員列表中移除，不過他依然是合夥人之一。在阿里巴巴合夥人制度中，由合夥人提名董事會的大多數董事人選，而非根據股份的多少分配董事席位。
股權方面，螞蟻集團也強化與阿里巴巴的隔離，在今年1月發布股東架構調整，馬雲雖擁有10%左右股份但放棄投票權，也不再是螞蟻集團實際控制人。
儘管如此，阿里巴巴從推進「一拆六」的業務架構調整，到管理層大騰挪的完成，低調許久的馬雲今年曝光率大增，他每次公開露面，都意味著阿里將有大決策。
報導稱，正如阿里巴巴集團總裁伊凡斯（MichaelEvans）此前受訪時所說，預計只要阿里巴巴和馬雲還在，馬雲對公司的關心程度與他剛創立時一樣，會一直持續下去。
對於馬雲家族信託的減持，第一財經引述亞洲金融風險智庫首席經濟學家秦逸飛表示，這是馬雲作為阿里巴巴集團創始人的既定計畫，分拆、放權、重分利益格局後，馬雲漸進式「真退休」，都在計畫之中。",2023/11/17,即時總覽,moneyudn
3,082305a9-eff1-4c16-8959-f43228846da8,預售推高天花板！非六都這五縣市 房價突破4字頭,"政府打房政策一波波，房價不跌反升，新案市場價格似乎不受平均地權條例新法上路影響，今年在非六都區域也創高價，不僅低於2字頭的新案幾乎絕跡，根據預售屋實價揭露資料，彰化縣、雲林縣、宜蘭縣、嘉義市及苗栗縣都出現4字頭成交單價，今年新案再度推高房價天花板。
大家房屋企劃研究室總監郎美囡分析，由於工料雙漲、地價攀升，雖然各項房市管制政策逐一上路，今年僅是打量難打價，非六都區域因價格基期低，以及六都與新竹縣市的價格外溢效果，新案價格持續走揚，各縣市房價出現新高。
依據預售實價登錄，今年截至10月所揭露之資料，彰化縣、雲林縣、宜蘭縣、嘉義市及苗栗縣等五個縣市，今年住宅預售最高成交價約在每坪44萬至47萬元之間，不過成交的面積落差大，最大接近60坪，最小僅15.87坪，其中位在彰化縣彰化市的「君品大謙」最高價每坪46.3萬元，該戶總價2,300萬元，總坪數56.89坪，彰化縣的高級住宅逐步走向5字頭。
住商不動產彰化家樂福加盟店店東黃天福指出，彰化市為彰化縣人口最多的區域之一，具有潛在的換屋市場，彰化先前約有十年的時間沒有推出新大樓，在三年前、也就是疫情前，市場才開始出現新建案，當時新案成交價約25、26萬，隨著建築成本提高及整體房價走揚。
目前彰化市的新案都在3字頭以上，而「君品大謙」能有4字頭價格，關鍵是君品所推出的建案建材規格高，多年來培養出穩固的客群，且彰化縣是傳產重鎮，有許多購買力強的隱形富豪。
此外，台中市的買方也會購買彰化的房子，對台中的購屋人而言，一坪3、4字頭的新案，更比台中市親民，因此買方能接受這樣的新案價位。
郎美囡表示，觀察這些區域，過去房價低，房市主力以透天為大宗，這幾年土地價格漲，建商推案轉向大樓及華廈，買方因房價漲、透天總價過高，改買大樓型社區，且不只新案推出的類型出現轉變，坪數規模也越來越小。
以往非六都地區因價格低，大坪數銷售率也不錯，但價格節節攀升後，大坪數總價也過高，加上平均家戶人口減少，新案規劃坪數越來越小，以此壓低總價，但也提醒購屋人，坪數過小容易限制室內裝潢及家具擺設，居住舒適性將受影響，未來轉手能否順利銷售，需多思量。資料來源／住商機構",2023/11/17,即時總覽,moneyudn
4,3597511b-6642-4d03-8540-dae1dc003ada,愈打愈高！苗雲彰嘉宜預售房價全衝破4字頭,"政府打房政策一波波，房價不跌反升，新案市場價格似乎不受平均地權條例新法上路影響，今年在非六都區域也創高價，不僅低於2字頭的新案幾乎絕跡，根據預售屋實價揭露資料，彰化縣、雲林縣、宜蘭縣、嘉義市及苗栗縣都出現4字頭成交單價，今年新案房價天花板再度推高。
大家房屋企劃研究室總監郎美囡分析，由於工料雙漲、地價攀升，雖然各項房市管制政策逐一上路，今年僅是打量難打價，非六都區域因價格基期低，以及六都與新竹縣市的價格外溢效果，新案價格持續走揚，各縣市房價出現新高。
依據預售實價登錄，今年截至10月所揭露之資料，彰化縣、雲林縣、宜蘭縣、嘉義市及苗栗縣等五個縣市，今年住宅預售最高成交價約在每坪44萬至47萬元之間，不過成交的面積落差大，最大接近60坪，最小僅15.87坪。
資料來源／住商不動產
其中位在彰化縣彰化市的「君品大謙」最高價每坪46.3萬元，該戶總價2,300萬元，總坪數56.89坪，彰化縣的高級住宅逐步走向5字頭。
住商不動產彰化家樂福加盟店店東黃天福指出，彰化市為彰化縣人口最多的區域之一，具有潛在的換屋市場，彰化先前約有十年的時間沒有推出新大樓，在三年前、也就是疫情前，市場才開始出現新建案，當時新案成交價約25、26萬，隨著建築成本提高及整體房價走揚，目前彰化市的新案都在3字頭以上。
「君品大謙」能有4字頭價格，關鍵是君品所推出的建案建材規格高，多年來培養出穩固的客群，且彰化縣是傳產重鎮，有許多購買力強的隱形富豪，此外，台中市的買方也會購買彰化的房子，對台中的購屋人而言，一坪3、4字頭的新案，更比台中市親民，因此買方能接受這樣的新案價位。
郎美囡表示，觀察這些區域，過去房價低，房市主力以透天為大宗，這幾年土地價格漲，建商推案轉向大樓及華廈，買方因房價漲、透天總價過高，改買大樓型社區，且不只新案推出的類型出現轉變，坪數規模也越來越小，以往非六都地區因價格低，大坪數銷售率也不錯。
但價格節節攀升後，大坪數總價也過高，加上平均家戶人口減少，新案規劃坪數越來越小，以此壓低總價，但也提醒購屋人，坪數過小容易限制室內裝潢及家具擺設，居住舒適性將受影響，未來轉手能否順利銷售，需多思量。",2023/11/17,即時總覽,moneyudn
5,35b8055d-f846-4870-bfdf-dbe3d7c86736,專做別人不做的事  華城股價翻漲10倍,"「各位同學，你們知道身邊坐著電機股王嗎？」最近CEO50課堂上，我問台下學員們。
「我也不知道會漲成這樣，」華城電機總經理許逸德（Ted）幽默回應，他2016年接任總經理時，股價才17.2，朋友為表對他的信心，買進華城股票，但19元時就賣掉了。
最近華城成為飆股，一年內股價漲幅近十倍，昨日收盤價280元，第三季以來，市值從四百多億成長至七百三十億。雖貴為股王，Ted仍一如往常到班上課，而且還上第四年了。
就連他的前業務處長也沒想到，公司股價會一路上漲，「前幾年最高62，他在65左右賣掉，說財富自由了；後來80幾又買，100出頭又賣掉，人性就是這樣。」Ted妙語，惹得全場學員大笑。
不過，最令人好奇的是，華城做變壓器起家，並非沒有競爭對手，為何能成為今日股王？
「我們做的事不是只有我們在做，要在”me too”的行業裡做到”不me too”的結果，要有不一樣的作法。」Ted說。
他分析，台電強韌電網計畫、做綠能、拚外銷，是華城三大成長動能，尤其，美國政府的兆元基建計畫，助長對電力設備的需求，讓華城訂單滿檔到2025年。
但這些策略、佈局，對手並不難抄，我繼續追問，華城讓人無法複製的「模仿障礙」究竟是什麼？
「去做別人不願意做的，」Ted終於鬆口，大部分同業都不願意做兩件事：售前服務、售後維護，「同業不做，我們專做。」
成交前，沒人想花時間或資源教育、培養客戶，但華城願花大半年教不懂機電設備的客戶寫規範、編預算，甚至，更幫忙取得建置許可。
成交後，大家急著開發新客戶，恨不得沒有維修問題要處理，華城去整合麥寮所有機電維運廠商，還對下包廠商做好教育訓練，讓客戶有任何維修狀況，都能立刻找到統一窗口、獲得解決。
不僅如此，他們還「刻意」周知業界自己在提供售前服務，不怕人抄；重點是，統統免費。
連Ted自己都說，看起來很笨對不對？
「你沒看過一家公司，從總經理到下面所有人都在做業務吧？」畢竟談的案子都動輒上億，在那麼大的數字面前，「人家不認識老闆是誰，不會跳下來相信你。」一個總經理捲起袖子、親力親為，為的就是走進客戶的心坎裡。
因為他相信，「解決客戶的痛點，客戶就會解決我的訂單問題。」
沒有夕陽產業，只有停滯不前的企業。雖然處在電機這種老產業，華城卻與時俱進，跨足綠能、電動車領域，持續做別人不願做的事，終於樹立對手難以超越的模仿障礙。
這也印證小米創辦人雷軍所說，「產品只是一家公司的基礎，技術位於中端，運營才是高端的關鍵。」
所以，光選對賽道還不夠，企業唯有找到獨一無二的定位、建立模仿障礙，才能不只好好活著（survive），而是獲得持續的成功（success）。
本文由《商周執行長郭奕伶》授權轉載，原文請點此
《商周執行長郭奕伶》粉絲專頁",2023/11/17,即時總覽,moneyudn
6,ef3f2628-e626-474b-968a-716f3c11aa47,南山人壽、南山產物獲112年度保險競賽7大獎肯定 居業界之冠,"金管會保險局今（17）日舉辦「112年度保險競賽」頒獎典禮，南山人壽（5874）、南山產物共計獲頒7項大獎肯定，除了雙雙獲得公平待客原則評核績優獎「優良獎」，南山人壽更囊括微型保險競賽「保險公司組第一名」、「業務績優獎」、「身心障礙關懷獎」、「衝刺獎」等獎項，並在小額終老保險競賽拿下「友善高齡獎」。南山人壽及南山產物以具體行動落實公益服務業的企業精神，獲獎數連續三年居業界之冠，創下保險業的公益新標竿。
南山人壽總經理范文偉出席頒獎典禮時表示，南山人壽深耕台灣一甲子，秉持「以人為本」的核心價值，積極落實「公益服務業」的精神，遵循金管會訂定之《金融服務業公平待客原則》，用心服務每一位保戶，以保險專業與溫暖服務守護全台超過600萬個家庭，並深入各地偏鄉關懷弱勢，成為穩定社會的重要力量。
為了用系統化的方式推展公平待客原則，南山人壽特別設計一套公平待客管理框架，具三大特色：(1)融合公司治理觀念、(2)結合風險評估機制、(3)整合客戶旅程與客戶接觸點，從組織分工、風險控管與評估、客戶旅程與保險商品生命週期出發，全方面檢視客戶需求及各部門公平待客原則的落實狀況，並結合數位工具與跨業夥伴資源，提升金融友善服務體驗，連續兩年獲得金融服務業公平待客原則評核前25%績優業者之肯定。
在今年，南山人壽啟用全新企業識別系統，宣示以更具「溫暖」、「活力」的新氣象迎向下個世代，除了持續深化既有公平待客作為，自今年起，陸續翻新台北、台南、台中等地的客戶服務據點，在軟、硬體上全面導入包容性設計，優化服務環節，在每一個細節處展現南山人壽對人的關懷以及無可取代的溫暖服務。
為實踐普惠金融，南山人壽積極配合政府政策推動「微型保險」，協助經濟弱勢者擁有基本保障，目前共與10個縣市政府攜手合作，包括屏東、台東、台中、基隆、台南、彰化、新北、及金門、馬祖、澎湖等離島地區；保障對象涵蓋低收入戶、中低收入戶、輕度/中度身心障礙者、領有中低老人津貼之經濟弱勢長者及特殊境遇家庭。
除此之外，在今年，南山人壽首次與新竹市基督教女青年會合作，將新住民家庭納入保障範圍。截至今年10月底，南山人壽累計歷年捐贈微型保險保費超過新臺幣9,044萬元，協助超過40萬人次弱勢民眾享有基本保障，推動微型保險成果卓越，今年獲頒微型保險競賽「保險公司組第一名」、「業務績優獎」、「身心障礙關懷獎」、「衝刺獎」等四項大獎項。
為推廣公平待客的金融服務價值，南山人壽也積極響應「小額終老保險」政策，推出投保門檻較低、保費相對便宜的小額終老保險商品「南山人壽福愛2小額終身壽險」，0到82歲皆可投保，保費較一般終身壽險低，使不同年齡層或經濟基礎的對象都能擁有身故或完全失能的基本保障，在今年的小額終老保險競賽中獲得「友善高齡獎」肯定。
南山產物持續精進商品研發與友善服務，繼110年獲金管會評選為「公平待客原則評核最佳進步獎｣、111年、112年均在評核中名列業界前25％，公平待客作為備受肯定。過去幾年，儘管保險業的各作業面向受到新冠肺炎疫情的衝擊與影響，南山產物仍秉持為客戶設想精神，無論商品或服務，持續致力實踐金融友善，包括快速響應政府疫苗施打政策、擴大承保對象等，甚至後期仍是少數就防疫保單提供續保機制的業者。
此外，面對防疫保單理賠案件爆量湧進時，南山產物總是從保障客戶權益角度出發，除了在不違反保單條款的原則下，為保戶爭取理賠權益，也透過即時性與機動性之跨部門溝通，滾動式調整爭議處理方向，有效率地解決爭議；同時檢視理賠條款與政府防疫措施，逐案分析爭議點、梳理理賠樣態，整合理賠及申訴之經驗後，進一步推出升級版之防疫商品，協助客戶持續獲得保障。
展望未來，南山人壽及南山產物將持續發揮保險核心職能，為社會大眾布建更為完善的風險防護網，以具體行動實踐公平待客，提供客戶溫暖的關懷服務及多元創新的保險商品，持續用保險核心職能，溫暖守護台灣每個角落。
南山人壽提醒，購買以上保險商品仍應留意確認保障範圍和給付方式是否符合自身需求，才能有效發揮保險商品風險轉移的功能。以上詳細商品內容、給付相關規範、注意事項及相關警語請參閱商品簡介及保單條款，或與南山人壽保險業務員聯繫、電洽24小時客戶服務中心0800-020-060(地址：台北市信義區莊敬路168號)，或至南山人壽企業網站查詢http://www.nanshanlife.com.tw。南山人壽、南山產物獲112年保險競賽多項大獎肯定，由南山人壽總經理范文偉（左二）、南山產物總經理林宜孝（右二）代表受獎。 南山人壽／提供",2023/11/17,即時總覽,moneyudn
7,d98254fd-89af-49c2-ac03-211d9a1c59fe,元晶投資6.95億元 升級太陽能電池產線,"太陽能廠元晶今天宣布，取得「根留台灣企業加速投資行動方案」，將斥資新台幣6.95億元，把太陽能電池產線升級為穿隧型異質接面（TOPCon）新型太陽能電池產線。
元晶表示，TOPCon太陽能電池轉換效率可望達25.5%，高於現有太陽能電池的22.7%，隨著效率提升，將有助在有限的土地上提供更多的綠色能源。
元晶指出，曾於109年及111年取得根留台灣投資方案，投資生產大尺寸太陽能模組，這次第3度申請，將主要把2條太陽能電池產線升級為TOPCon新型電池產線，並規劃產線節能減碳措施。
元晶目前共有3條太陽能電池產線，總產能1.5GW，在完成2條產線升級後，TOPCon太陽能電池產能規模將達1GW，將居台廠之冠。",2023/11/17,即時總覽,moneyudn
8,4c498f86-2659-400e-a076-69b3df1ca0c9,雙北房價指數續創新高 專家：房價回不去了,"雙北房價看回不回，信義房屋發布最新大台北房價指數，10月台北市房價指數150.03，月增1.06%、年減1.01%；新北市房價指數178.48，月增0.76%、年增4.12%，台北地區房價指數161.34，月增0.93%、年增1.19%，台北市房價指數續創今年新高，新北市房價指數則創下歷年新高。
信義房屋專案經理曾敬德指出，目前來看房價是看回不回，會持續上漲推測主要原因是市場的供給面變少，買方可選擇性有限，因此市場上品質好、地段好的產品容易成交，也容易帶動房價持續上漲。
信義房屋所推出的「信義房價指數」，主要關注中古屋物件並排除預售屋，為國內針對中古市場的房價指標數據。
若觀察近年來各月表現狀況，北市在去年10月創下歷史高點，房價指數達151.56，隨後房價指數走滑，主要是台北市高房價，在房市盤整時，使買家觀望意味更濃厚，率先反應價格修正，不過觀察今年以來，每月房價指數是持續上升，顯見在剛性需求買盤支撐下，房價仍是穩定上漲。
曾敬德指出，目前北市公寓平均總價約在1,750萬元，新北市公寓平均總價約在1,050萬元左右；北市電梯大樓總價約在2,800萬元，新北市電梯大樓總價約在1,700萬元。觀察雙北市，新北市因為具有重劃區、捷運等題材，且房價相對北市還是親民，不僅買盤青睞，也會受惠北市的外溢買盤。
展望後市，曾敬德認為，可以觀察明年農曆年後，房市是否會出現一波小陽春，另外，倘若明年電價上漲，也可能會帶來一些通膨預期，對房價具有一定的支撐力，整體而言，若無太特殊的狀況，比如戰爭等發生，目前房市趨於穩定，且下半年的量能已經回溫，預期明年房價應該是持續緩漲。資料來源／信義房屋
延伸閱讀
台北房價多貴？23坪小宅加車賣逾5千萬 看到主建物更驚呆
雙北捷運房價哪站漲最多？這站5年漲近4成居冠",2023/11/17,即時總覽,moneyudn
9,6321aac4-2011-451e-80ec-3393ca699fef,150億元永續連結指標聯貸案 台灣大完成簽約,"台灣大哥大今（17）日宣布，與台灣銀行、兆豐銀行等6家銀行完成5年期150億元永續連結指標聯貸案簽約，這項聯貸案由台灣銀行及兆豐銀行擔任管理銀行，並邀集第一銀行、彰化銀行、合作金庫及土地銀行共同參與。
主辦銀行表示，參貸銀行對台灣大營運、獲利表現給予高度肯定，原預計募集150億元，在銀行同業踴躍參與下，超額參貸33.3%，承諾金額達200億元，最終以150億元結案。資金用途為償還既有金融機構借款及充實營運周轉金，本聯合授信案連結道瓊世界永續指數、碳揭露計畫、廢/舊手機回收量及公司治理評鑑等ESG指標。
台灣大接軌國際永續準則，2022年加入全球再生能源倡議RE100，制定明確減碳目標與路徑；運用ICT核心技術，推出全台電信唯一的綠色機房訂閱服務「Smart IT管家」，透過雲端數位工具，提供企業從碳盤查到碳減量，一站式ESG解決方案，賦能企業綠色轉型；2008年開始展開廢手機回收，推動循環經濟，連續6年入選DJSI最高榮譽「世界指數」，位列全球電信業前3名，連續9年入選證交所公司治理評鑑前5%，4度獲CDP氣候變遷綜合評比最高等級A，榮獲多項國際永續評比肯定。
台灣大哥大總經理林之晨表示，氣候變遷對於人類社會的影響與日俱增，台灣大落實永續發展，透過合併台灣之星，減少基礎設施重複布建，並擴大綠電及低碳設備投資布局。在開源節流雙管齊下，致力節能減碳之外，台灣大亦結合科技力，投入社會參與，去年起主動積極投入反詐行動，自主開發「反詐戰警」、「安心Call」，並配合政府推動國際來電（+886 9）語音警示、111政府專屬短碼簡訊平台等服務，響應政府政策，從源頭阻斷詐騙，努力推進更韌性而永續的未來。台灣大總經理林之晨表示，台灣大哥大營運與獲利表現獲銀行高度肯定，與台灣銀行、兆豐銀行等6家銀行完成150億元永續連結指標聯貸案簽約，努力推進更韌性而永續的未來。圖／台灣大哥大提供",2023/11/17,即時總覽,moneyudn
